Data,SIH_Sul_I_Old,SIH_Sul_J_Old,SIH_Sul_I_Kid,SIH_Sul_J_Kid,SIH_GV_I_Old,SIH_GV_J_Old,SIH_GV_I_Kid,SIH_GV_J_Kid,pm25.gv,pm10.gv,so2.gv,no2.gv,co.gv,o3.gv,co.sul,o3.sul,no2.sul,so2.sul,pm10.sul,pm25.sul
01/03/2015,2,1,0,1,10,9,0,10,8.208333333,19.74407585,5.426770833,8.716736111,230.9994167,44.55041667,206.3111111,,12.11611869,17.04916667,45.32927778,5.509710227
02/03/2015,3,1,0,4,5,7,0,8,9.375,23.38690476,8.18125,13.199875,315.0664167,23.57947917,247.8544907,,8.021770085,13.81666667,24.21315,3.693792271
03/03/2015,1,1,0,1,18,5,0,18,9.185897436,22.28063241,4.835208333,21.51541667,455.6203167,21.82577083,243.44775,,6.374199495,6.419166667,19.97433383,4.201927289
04/03/2015,2,0,0,2,12,2,0,22,20,32.06709957,7.253645833,21.04,531.6099167,19.9671875,262.8842452,,9.145310606,7.51875,17.84621651,6.485952851
05/03/2015,3,0,0,3,14,4,0,15,13.91477273,28.29404291,8.716979167,17.41666667,511.9273864,19.41174242,255.7626449,,10.47455072,9.175,16.86146377,5.38620471
06/03/2015,1,0,0,1,11,6,0,17,8.583333333,26.67640693,6.211426768,13.73375,424.5238352,21.57619048,311.3422222,,10.53019242,7.998333333,18.40940989,4.871278409
07/03/2015,1,1,0,3,6,3,0,20,9.875,28.36908526,7.675,10.66,367.5702083,27.84125,337.62375,,10.85708333,8.525,21.60779011,5.7053125
08/03/2015,1,1,0,1,5,5,0,9,8.25,23.26457448,7.133888889,8.522916667,273.2660326,38.02319444,272.1847917,,12.12904348,8.931666667,19.68780823,5.15415308
09/03/2015,3,1,0,4,14,5,0,26,9.1875,31.5002588,6.89172619,11.4525,354.6977381,31.44551768,298.5150794,,11.49815509,6.968333333,15.05028636,4.344607143
10/03/2015,1,0,0,0,17,8,0,23,9.645833333,28.5010352,8.695279304,12.74090909,363.4554487,32.43461538,245.7432108,,10.70492475,8.755,18.60336972,5.857777778
11/03/2015,1,1,0,2,9,1,0,16,10.375,36.6066992,10.71385417,9.7925,407.4195833,29.25604167,244.9167068,,9.88090368,7.84375,27.87680637,6.15475
12/03/2015,0,1,0,1,12,4,0,15,9.626811594,30.53124412,10.62729167,10.47833333,419.7889167,24.6446875,261.2748333,,11.29427083,6.875416667,18.8385422,5.994172705
13/03/2015,1,0,0,2,9,5,0,20,8.791666667,30.95259662,9.333541667,11.76708333,407.8990833,23.86354167,311.7593865,,10.79805952,7.7325,21.59402278,6.58686553
14/03/2015,1,0,0,0,3,6,1,9,8.145833333,27.38254831,11.6690625,10.02,364.9319167,24.18802083,246.7576389,,10.91916667,9.254583333,21.67898841,6.736011029
15/03/2015,0,0,0,2,4,4,0,8,9,21.40277778,9.507083333,8.992916667,359.1940833,25.09364583,172.5331256,,8.380100877,5.50875,15.99799539,5.518333333
16/03/2015,2,2,0,0,12,6,0,14,9.479166667,28.75996377,10.80677083,11.09,433.8515152,22.12973732,240.5731429,,10.94675,6.326666667,24.4849673,7.1491875
17/03/2015,5,0,0,2,14,6,2,20,8.708333333,27.88257576,8.886041667,10.8025,403.16175,21.1103125,240.2594657,,7.933392857,5.0675,21.48053513,6.784588816
18/03/2015,1,3,0,1,13,10,1,12,7.979166667,23.04166667,6.673854167,11.765,412.1333333,26.44260417,225.081048,,8.209619565,6.544166667,21.5884375,6.522291667
19/03/2015,2,1,0,1,12,6,2,19,15.33333333,26.15972222,6.080520833,16.23708333,454.8124167,24.98802083,180.1519571,,6.938106061,4.709166667,26.06135417,4.360625
20/03/2015,0,1,0,1,11,5,0,16,14.625,24.60416667,6.41875,15.28041667,454.1287955,23.61177083,298.4047917,,6.636083333,5.0925,22.41187198,4.734027778
21/03/2015,0,0,0,3,9,6,0,13,8.020833333,21.00727383,6.112083333,13.26083333,381.6703333,20.416875,338.3110227,,8.450193582,8.501666667,17.47059289,5.724392841
22/03/2015,1,0,0,4,4,1,0,4,7.979166667,20.00930501,7.246145833,11.34083333,285.6519167,28.4046875,308.4866667,,8.785855072,7.75,15.37020979,5.552222222
23/03/2015,3,2,0,2,6,4,0,11,10.58333333,20.82479296,5.848645833,24.81125,467.134,21.761875,293.2875,,5.433078675,7.170869565,13.80401186,2.5975
24/03/2015,2,0,0,2,17,12,0,17,12.26992754,33.15231116,8.909444444,17.04125,394.4061812,26.89625,234.9844384,,7.912585145,7.505,25.17305583,4.193240741
25/03/2015,1,0,0,2,7,3,0,18,7.270833333,25.56746032,5.706603641,17.2547619,275.8281667,27.05833333,195.7072101,,7.606530661,,26.22993056,19.56408333
26/03/2015,0,0,0,2,16,3,0,17,11.02083333,28.06448413,4.374027778,19.44125,386.1218571,31.98635417,234.2156373,,6.051805556,,18.62822826,9.2204375
